Timestamp,Fx,Fy,Fz,Tx,Ty,Tz
194949115232,-28.294289,-4.0804415,-44.889908,-0.19330536,-109.779915,-38.801426
194949116038,-28.292433,-4.08606,-44.89774,-0.20758331,-109.78762,-38.806416
194949117073,-28.290766,-4.087414,-44.90895,-0.21077555,-109.77284,-38.806797
194949118047,-28.287048,-4.0863066,-44.918736,-0.20588398,-109.77512,-38.808567
194949119121,-28.286804,-4.087265,-44.925507,-0.21144484,-109.77172,-38.81761
194949120035,-28.283499,-4.090135,-44.940037,-0.2215391,-109.78033,-38.81211
194949121116,-28.281576,-4.0907226,-44.950394,-0.23075211,-109.776276,-38.806057
194949122037,-28.275959,-4.0912404,-44.960934,-0.2273534,-109.78217,-38.804707
194949123064,-28.2729,-4.08961,-44.96792,-0.23226732,-109.789764,-38.80666
194949124064,-28.27278,-4.084435,-44.969124,-0.20907298,-109.77401,-38.806393
194949125155,-28.272726,-4.0787,-44.96467,-0.18685569,-109.76299,-38.793896
194949126142,-28.277788,-4.072214,-44.948345,-0.16466568,-109.73373,-38.79714
194949127125,-28.280031,-4.072474,-44.922646,-0.16386898,-109.725,-38.801853
194949128115,-28.28344,-4.07492,-44.902634,-0.1647894,-109.712746,-38.80899
194949129102,-28.28403,-4.070564,-44.884212,-0.13958636,-109.70837,-38.797134
194949130108,-28.29087,-4.0712905,-44.874874,-0.13898085,-109.67338,-38.78508
194949131121,-28.29018,-4.0728064,-44.879826,-0.1487771,-109.67495,-38.793358
194949132167,-28.291386,-4.0746684,-44.879505,-0.15232015,-109.67655,-38.785023
194949133170,-28.295176,-4.0766897,-44.88404,-0.17042384,-109.68371,-38.762688
194949134249,-28.293406,-4.079193,-44.887962,-0.18342234,-109.70934,-38.763805
194949135168,-28.293093,-4.085445,-44.88525,-0.2269866,-109.73609,-38.77596
194949136195,-28.290798,-4.0952096,-44.90115,-0.27378285,-109.77118,-38.782303
194949137162,-28.287476,-4.094544,-44.917732,-0.27618948,-109.79594,-38.78402
194949138181,-28.286871,-4.0925665,-44.936455,-0.2735213,-109.82649,-38.772865
194949139214,-28.288063,-4.0942516,-44.94477,-0.30833805,-109.844376,-38.785896
194949140228,-28.284142,-4.0947657,-44.94462,-0.33237258,-109.8959,-38.807236
194949141239,-28.29007,-4.095185,-44.936092,-0.33844477,-109.91385,-38.809856
194949142209,-28.293573,-4.0978804,-44.927597,-0.3621243,-109.94219,-38.822086
194949143267,-28.292704,-4.09513,-44.912636,-0.34618753,-109.96847,-38.847984
194949144265,-28.295534,-4.0928407,-44.900932,-0.34237722,-109.99212,-38.85453
194949145271,-28.301722,-4.086505,-44.908432,-0.308686,-109.99097,-38.852478
194949146271,-28.304712,-4.0791225,-44.888725,-0.2788842,-110.00092,-38.854763
194949147392,-28.309288,-4.078185,-44.878036,-0.28417277,-110.0311,-38.864937
194949148330,-28.307535,-4.0792813,-44.87228,-0.30296698,-110.06563,-38.87305
194949149282,-28.307598,-4.0782976,-44.879417,-0.29658934,-110.11683,-38.875618
194949150306,-28.309025,-4.0781064,-44.89119,-0.2903901,-110.16528,-38.88492
194949151443,-28.303745,-4.075559,-44.901554,-0.28259787,-110.2207,-38.887802
194949152336,-28.303799,-4.074008,-44.91893,-0.27996412,-110.255806,-38.89211
194949153342,-28.30997,-4.080841,-44.93003,-0.3128117,-110.274635,-38.898575
194949154566,-28.311056,-4.087266,-44.9335,-0.34400696,-110.30852,-38.904903
194949155366,-28.307009,-4.0892687,-44.931004,-0.35269383,-110.36295,-38.929047
194949156339,-28.309431,-4.0915356,-44.947628,-0.3577751,-110.3883,-38.932217
194949157393,-28.31208,-4.0883026,-44.951256,-0.34167635,-110.40183,-38.937565
194949158385,-28.316013,-4.0881295,-44.94887,-0.33737838,-110.42688,-38.93626
194949159394,-28.322945,-4.0888257,-44.94772,-0.33122772,-110.424355,-38.93376
194949160405,-28.327152,-4.0847416,-44.936012,-0.31083927,-110.40846,-38.933575
194949161386,-28.331863,-4.0814676,-44.922207,-0.30186966,-110.41328,-38.94544
194949162778,-28.333395,-4.0765657,-44.90407,-0.2836078,-110.43173,-38.94617
194949163434,-28.331884,-4.0681176,-44.893417,-0.24960048,-110.46308,-38.950912
194949164429,-28.33417,-4.0628433,-44.897568,-0.23346324,-110.48046,-38.952194
194949165419,-28.336372,-4.066068,-44.899445,-0.26603594,-110.4916,-38.95486
194949166415,-28.33462,-4.0705695,-44.905186,-0.28120938,-110.5315,-38.96275
194949167464,-28.332197,-4.0729175,-44.913353,-0.29409835,-110.56152,-38.95164
194949168586,-28.332247,-4.071911,-44.918224,-0.30699924,-110.58793,-38.96005
194949169458,-28.321949,-4.076075,-44.92486,-0.33428237,-110.653854,-38.96578
194949170470,-28.320534,-4.0783024,-44.936337,-0.33686298,-110.69455,-38.965187
194949171500,-28.321358,-4.081576,-44.9499,-0.3521796,-110.69889,-38.96382
194949172515,-28.322058,-4.085015,-44.96578,-0.36309952,-110.71541,-38.96148
194949173523,-28.323904,-4.0907335,-44.977962,-0.3786448,-110.72266,-38.956234
194949174540,-28.323477,-4.0910387,-44.97655,-0.38261923,-110.71506,-38.950657
194949175527,-28.322985,-4.087329,-44.97479,-0.35245314,-110.71649,-38.93448
194949176556,-28.326368,-4.0762243,-44.962505,-0.3351451,-110.70167,-38.92984
194949177554,-28.329258,-4.0748086,-44.9531,-0.33602422,-110.68659,-38.937263
194949178661,-28.329945,-4.075405,-44.945335,-0.324977,-110.66605,-38.935677
194949179595,-28.341087,-4.07155,-44.934883,-0.3044577,-110.60977,-38.939568
194949180588,-28.343016,-4.0705004,-44.93888,-0.32046372,-110.60109,-38.931656
194949181596,-28.340736,-4.066673,-44.93212,-0.3080972,-110.60293,-38.92652
194949182567,-28.338118,-4.0672674,-44.93072,-0.31084692,-110.605675,-38.93217
194949183726,-28.33378,-4.071706,-44.935925,-0.33891848,-110.60824,-38.933918
194949184585,-28.33493,-4.0747075,-44.942776,-0.34753016,-110.6156,-38.941933
194949185619,-28.330889,-4.0809126,-44.944695,-0.3598734,-110.635994,-38.94146
194949186638,-28.326519,-4.086585,-44.953426,-0.3677605,-110.64326,-38.950447
194949187827,-28.32419,-4.0902963,-44.963577,-0.37904507,-110.652534,-38.945705
194949188851,-28.325706,-4.088707,-44.964535,-0.37405562,-110.64402,-38.93668
194949189846,-28.321756,-4.0862336,-44.966812,-0.36029062,-110.65372,-38.92881
194949190810,-28.31966,-4.088096,-44.955235,-0.36241037,-110.62667,-38.931934
194949191806,-28.31864,-4.0925803,-44.950165,-0.35176644,-110.61669,-38.93087
194949192793,-28.321886,-4.0918765,-44.939034,-0.345232,-110.5807,-38.92005
194949193782,-28.32417,-4.0860624,-44.922375,-0.3024443,-110.552795,-38.92356
194949194804,-28.323387,-4.0803094,-44.907856,-0.26630467,-110.51248,-38.923122
194949195818,-28.328714,-4.0719194,-44.8956,-0.25471225,-110.45316,-38.924915
194949196817,-28.3294,-4.0704846,-44.882496,-0.25851887,-110.422646,-38.916004
194949197785,-28.32829,-4.0665836,-44.876057,-0.2324299,-110.39065,-38.911343
194949198814,-28.322433,-4.06681,-44.881516,-0.2139813,-110.38494,-38.919468
194949199830,-28.31483,-4.0713186,-44.894913,-0.23393326,-110.38753,-38.92367
194949200829,-28.313833,-4.0695157,-44.898464,-0.21459739,-110.36473,-38.927433
194949201811,-28.31352,-4.072874,-44.91203,-0.23903643,-110.3396,-38.930584
194949202798,-28.308554,-4.0731964,-44.926765,-0.252336,-110.32331,-38.93264
194949203783,-28.30461,-4.0757833,-44.939064,-0.2695625,-110.302086,-38.91906
194949204790,-28.299631,-4.0792947,-44.950348,-0.29099786,-110.30843,-38.912155
194949205886,-28.296705,-4.084368,-44.96056,-0.29054734,-110.28169,-38.922485
194949206781,-28.29501,-4.085901,-44.962517,-0.2603397,-110.23921,-38.91109
194949207863,-28.29386,-4.087965,-44.965786,-0.27154282,-110.20322,-38.91735
194949208793,-28.294662,-4.0899777,-44.96231,-0.2750522,-110.15075,-38.902203
194949209868,-28.30041,-4.0889125,-44.941982,-0.24621375,-110.072266,-38.89519
194949210823,-28.299171,-4.0925508,-44.929512,-0.23897256,-110.03176,-38.883312
194949211865,-28.300058,-4.0857368,-44.91259,-0.22208618,-109.98207,-38.875126
194949212877,-28.302353,-4.0845823,-44.896435,-0.20789243,-109.92923,-38.868843
194949213896,-28.304838,-4.081799,-44.88703,-0.18687195,-109.88458,-38.859394
194949215111,-28.305908,-4.083668,-44.879066,-0.19560099,-109.84204,-38.85883
194949215953,-28.303068,-4.084291,-44.885246,-0.1923815,-109.83296,-38.84511
194949217239,-28.300688,-4.0851893,-44.892067,-0.20805763,-109.81025,-38.839584
194949217900,-28.294724,-4.0873213,-44.891193,-0.22218478,-109.81586,-38.819874
194949219930,-28.29379,-4.0892887,-44.893215,-0.21942037,-109.80025,-38.822598
194949220121,-28.28881,-4.092878,-44.90839,-0.24435107,-109.800606,-38.815132
194949221006,-28.286564,-4.0913806,-44.916092,-0.24168529,-109.79523,-38.80725
194949221954,-28.28531,-4.09416,-44.918907,-0.23382303,-109.77852,-38.78997
194949223144,-28.281841,-4.10122,-44.93021,-0.24792963,-109.77974,-38.782066
194949224003,-28.280346,-4.1003737,-44.92662,-0.23777172,-109.773575,-38.78177
194949224957,-28.280857,-4.1007257,-44.930313,-0.22850825,-109.75931,-38.769154
194949225996,-28.28101,-4.0973153,-44.92134,-0.2095494,-109.75063,-38.759014
194949226983,-28.283388,-4.093784,-44.910423,-0.19818354,-109.72476,-38.760914
194949228025,-28.288683,-4.0912127,-44.901478,-0.17956066,-109.6848,-38.763134
194949228996,-28.286694,-4.0838737,-44.89283,-0.17132953,-109.682175,-38.74902
194949230014,-28.288275,-4.080381,-44.88141,-0.15821631,-109.683556,-38.756645
194949231020,-28.289865,-4.0798697,-44.874283,-0.16184899,-109.67195,-38.76396
194949232067,-28.286839,-4.08186,-44.874268,-0.16826186,-109.68679,-38.767696
194949233210,-28.285446,-4.081953,-44.87628,-0.16850884,-109.71706,-38.771072
194949234010,-28.28047,-4.0872474,-44.892456,-0.20370553,-109.7398,-38.776035
194949235043,-28.281628,-4.0867553,-44.89951,-0.20173506,-109.7452,-38.782795
194949236086,-28.278547,-4.089595,-44.90432,-0.22754264,-109.76072,-38.79221
194949237066,-28.27115,-4.093902,-44.923134,-0.23565017,-109.80786,-38.79577
194949238118,-28.268139,-4.0917025,-44.92815,-0.22412398,-109.82131,-38.794292
194949239084,-28.27043,-4.096206,-44.93175,-0.23885034,-109.84487,-38.79999
194949240144,-28.271431,-4.101307,-44.938206,-0.26476732,-109.850235,-38.804306
194949241111,-28.27305,-4.1015487,-44.944225,-0.27493396,-109.87911,-38.802734
194949242112,-28.278427,-4.099282,-44.94196,-0.2877093,-109.89694,-38.809566
194949243123,-28.286234,-4.0953093,-44.930557,-0.28724498,-109.87558,-38.814957
194949244116,-28.294596,-4.0917215,-44.915836,-0.27541664,-109.8691,-38.82001
194949245107,-28.296062,-4.0890503,-44.904003,-0.26904497,-109.88693,-38.810436
194949246160,-28.30123,-4.0875254,-44.886833,-0.26941925,-109.889015,-38.817276
194949247229,-28.307129,-4.082279,-44.8699,-0.25224367,-109.89744,-38.82745
194949248276,-28.308603,-4.0821633,-44.87157,-0.26613325,-109.947784,-38.830196
194949249190,-28.310553,-4.0805197,-44.876842,-0.25918347,-109.97372,-38.854546
194949250189,-28.313902,-4.0780087,-44.88641,-0.2533705,-110.00242,-38.85897
194949251200,-28.316263,-4.0786963,-44.896732,-0.2656355,-110.01816,-38.864346
194949252201,-28.313128,-4.0765786,-44.913837,-0.25596225,-110.05859,-38.86625
194949253255,-28.306175,-4.0777445,-44.925537,-0.25536966,-110.127365,-38.864193
194949254201,-28.302841,-4.0744505,-44.936596,-0.25650284,-110.18362,-38.86093
194949255236,-28.303856,-4.077235,-44.941906,-0.28065318,-110.219345,-38.88502
194949256277,-28.305412,-4.0747776,-44.955837,-0.28673244,-110.266014,-38.86433
194949257270,-28.306763,-4.077572,-44.965775,-0.32424125,-110.31164,-38.863552
194949258299,-28.315289,-4.0763054,-44.967083,-0.3238658,-110.31267,-38.87134
194949259263,-28.314508,-4.0758896,-44.962837,-0.34406465,-110.33633,-38.87926
194949260270,-28.312366,-4.0700526,-44.9478,-0.33470616,-110.37927,-38.873215
194949261301,-28.311169,-4.0658784,-44.932484,-0.31212202,-110.41904,-38.873096
194949262281,-28.318953,-4.0647135,-44.917267,-0.30571643,-110.423874,-38.892807
194949263325,-28.329119,-4.061214,-44.902035,-0.30592692,-110.41551,-38.892048
194949264386,-28.33161,-4.0650573,-44.90194,-0.31208467,-110.43768,-38.901558
194949265348,-28.32978,-4.0650573,-44.90766,-0.31453446,-110.47588,-38.902195
194949266347,-28.329706,-4.0664535,-44.912994,-0.31683856,-110.506905,-38.931335
194949267337,-28.336004,-4.067323,-44.918896,-0.30778402,-110.51471,-38.9333
194949268335,-28.33156,-4.07149,-44.928978,-0.32893246,-110.57146,-38.944004
194949269321,-28.328268,-4.0756135,-44.93975,-0.3403769,-110.611435,-38.933422
194949270406,-28.328646,-4.0781236,-44.949944,-0.34224707,-110.633385,-38.94442
194949271412,-28.333126,-4.079177,-44.962982,-0.3607517,-110.644745,-38.955883
194949272425,-28.329788,-4.080331,-44.975166,-0.36391753,-110.667145,-38.948685
194949273430,-28.324596,-4.0811653,-44.987206,-0.36165386,-110.692154,-38.960213
194949274425,-28.326021,-4.0800085,-44.981804,-0.36368492,-110.694405,-38.966705
194949275421,-28.329924,-4.0796995,-44.96963,-0.3651149,-110.669655,-38.96538
194949276445,-28.332176,-4.078305,-44.962,-0.36236933,-110.64702,-38.950626
194949277443,-28.330135,-4.075308,-44.94916,-0.3563291,-110.63899,-38.94795
194949278390,-28.332527,-4.0712824,-44.93039,-0.3231996,-110.61453,-38.937054
194949279493,-28.338917,-4.063309,-44.92081,-0.28121108,-110.59598,-38.934822
194949280486,-28.340107,-4.0606966,-44.906845,-0.27762723,-110.57678,-38.927925
194949281489,-28.336697,-4.061944,-44.89894,-0.27703688,-110.58675,-38.924694
194949282504,-28.33584,-4.0661864,-44.897938,-0.2978326,-110.58956,-38.929153
194949283549,-28.33409,-4.0679007,-44.906,-0.3102706,-110.58606,-38.930733
194949284514,-28.331867,-4.063121,-44.907715,-0.28217033,-110.586845,-38.921516
194949285508,-28.324795,-4.0602865,-44.92239,-0.26836756,-110.62093,-38.924515
194949286543,-28.31709,-4.0628066,-44.936836,-0.2785936,-110.65831,-38.937794
194949287530,-28.315025,-4.066936,-44.94781,-0.29775175,-110.66586,-38.93045
