Timestamp,Fx,Fy,Fz,Tx,Ty,Tz
440299122430,-26.7044,-4.0434494,-49.48993,-4.1859717,-117.14893,-38.971954
440299123427,-26.708555,-4.047448,-49.48416,-4.2039313,-117.16809,-38.977303
440299124395,-26.711302,-4.052722,-49.471905,-4.237484,-117.18795,-38.977375
440299125395,-26.708908,-4.0561285,-49.46513,-4.2608795,-117.21088,-38.972305
440299126449,-26.70667,-4.059864,-49.460712,-4.2586293,-117.23639,-38.984848
440299127572,-26.706606,-4.059367,-49.465977,-4.2546935,-117.25812,-38.99166
440299128425,-26.702702,-4.0603476,-49.47034,-4.2562084,-117.286575,-38.994656
440299129714,-26.709377,-4.061167,-49.46698,-4.239478,-117.262566,-38.993034
440299130762,-26.71217,-4.0627437,-49.46436,-4.2562943,-117.25641,-38.99281
440299131586,-26.714159,-4.063864,-49.457623,-4.274515,-117.26771,-38.985638
440299132655,-26.716587,-4.0717616,-49.45686,-4.297807,-117.28074,-38.98578
440299133614,-26.716406,-4.0733485,-49.461918,-4.3009353,-117.27752,-38.98215
440299134548,-26.715681,-4.0722904,-49.471523,-4.284724,-117.27505,-38.976025
440299135574,-26.716475,-4.0712337,-49.47716,-4.26859,-117.27851,-38.994522
440299136529,-26.715374,-4.0726004,-49.47559,-4.281411,-117.276215,-38.99746
440299137791,-26.719957,-4.0775466,-49.46578,-4.288284,-117.26438,-38.99076
440299138715,-26.72404,-4.080433,-49.465393,-4.2816052,-117.24255,-38.990635
440299139749,-26.720112,-4.080189,-49.467278,-4.2932096,-117.268036,-38.99155
440299140798,-26.719366,-4.083212,-49.465927,-4.2914042,-117.283676,-38.99314
440299141750,-26.718977,-4.0868897,-49.47022,-4.280092,-117.293175,-39.007175
440299142703,-26.71452,-4.087552,-49.469585,-4.2732816,-117.327385,-39.01619
440299143698,-26.711666,-4.08956,-49.4651,-4.2572684,-117.343506,-39.00893
440299144709,-26.714718,-4.090781,-49.46213,-4.24332,-117.337746,-39.01501
440299145700,-26.715496,-4.093274,-49.45522,-4.2365637,-117.32637,-39.011345
440299146799,-26.718819,-4.093855,-49.455822,-4.220403,-117.318794,-39.011738
440299147856,-26.713793,-4.093172,-49.45799,-4.211256,-117.339325,-39.018078
440299148881,-26.711723,-4.094446,-49.45281,-4.198447,-117.35402,-39.005173
440299150099,-26.71785,-4.0951433,-49.454304,-4.1818233,-117.327286,-39.0045
440299150729,-26.719269,-4.098363,-49.458004,-4.18121,-117.30741,-39.009212
440299151788,-26.717337,-4.0990386,-49.449043,-4.1850133,-117.29542,-39.010845
440299152739,-26.717152,-4.0948653,-49.447258,-4.143985,-117.274605,-39.002388
440299153777,-26.71677,-4.093192,-49.447285,-4.1288424,-117.26881,-39.008728
440299154737,-26.711437,-4.0938854,-49.44728,-4.1315055,-117.28335,-38.99794
440299155730,-26.713703,-4.094431,-49.449524,-4.110209,-117.27825,-38.97592
440299156703,-26.709246,-4.096253,-49.451206,-4.1027513,-117.28288,-38.976303
440299157697,-26.711048,-4.0982738,-49.45084,-4.0965447,-117.273964,-38.981327
440299158698,-26.71059,-4.0990725,-49.447495,-4.094919,-117.26224,-38.987175
440299159734,-26.704573,-4.0999084,-49.44096,-4.0925374,-117.275665,-38.994465
440299160767,-26.70331,-4.0983896,-49.435078,-4.07123,-117.28034,-38.993656
440299161775,-26.705975,-4.0992846,-49.436943,-4.053062,-117.26359,-38.98284
440299163019,-26.706501,-4.1036925,-49.443306,-4.060298,-117.26851,-38.984615
440299163891,-26.707308,-4.106731,-49.44508,-4.0553236,-117.25718,-38.97491
440299164887,-26.706514,-4.1080494,-49.44536,-4.0497894,-117.246735,-38.974613
440299165934,-26.702747,-4.1084175,-49.445198,-4.062072,-117.25817,-38.99026
440299166843,-26.702444,-4.108005,-49.444897,-4.056714,-117.25256,-38.983044
440299168015,-26.705801,-4.106313,-49.447422,-4.052885,-117.220665,-38.963303
440299168872,-26.705275,-4.10664,-49.45492,-4.0391273,-117.21734,-38.953762
440299170002,-26.708305,-4.1045346,-49.46262,-4.0311666,-117.19573,-38.947258
440299170838,-26.710672,-4.1038146,-49.465714,-4.042875,-117.18011,-38.928795
440299171821,-26.706732,-4.1010504,-49.464577,-4.0401816,-117.197136,-38.92397
440299172899,-26.704247,-4.100358,-49.45682,-4.05575,-117.18783,-38.91733
440299173860,-26.701906,-4.101746,-49.460186,-4.082852,-117.18517,-38.920925
440299174907,-26.704502,-4.100952,-49.45999,-4.0829616,-117.181,-38.912865
440299175881,-26.705235,-4.0976357,-49.459404,-4.071134,-117.167435,-38.908394
440299176863,-26.705914,-4.0962462,-49.455963,-4.0744014,-117.16881,-38.901752
440299177878,-26.699741,-4.093507,-49.45997,-4.0672145,-117.19299,-38.90427
440299178884,-26.69842,-4.087734,-49.459038,-4.063926,-117.18864,-38.90605
440299179999,-26.695675,-4.08734,-49.45423,-4.067799,-117.19652,-38.894478
440299181016,-26.69263,-4.083965,-49.458366,-4.053993,-117.19925,-38.916786
440299182829,-26.692411,-4.078889,-49.458813,-4.043817,-117.19791,-38.919304
440299183276,-26.692858,-4.0749726,-49.461918,-4.0317826,-117.19122,-38.92613
440299184085,-26.69492,-4.0701175,-49.460182,-4.02665,-117.1879,-38.926144
440299185588,-26.694742,-4.072372,-49.460976,-4.0423656,-117.186386,-38.941025
440299186076,-26.693186,-4.0742903,-49.46381,-4.0559716,-117.181244,-38.93237
440299186978,-26.693045,-4.071694,-49.46745,-4.0502844,-117.17256,-38.937958
440299187980,-26.69646,-4.0753126,-49.46399,-4.087408,-117.16085,-38.941364
440299189104,-26.69941,-4.0799823,-49.459183,-4.110397,-117.14914,-38.955738
440299190005,-26.695124,-4.0796804,-49.461475,-4.123194,-117.16842,-38.958424
440299190984,-26.692516,-4.082435,-49.460712,-4.1443224,-117.16188,-38.937046
440299192074,-26.691647,-4.0863943,-49.470753,-4.1663165,-117.149704,-38.941845
